pair_type,euclidean_distance,hyperbolic_distance,distance_ratio,euclidean_level_diff,hyperbolic_level_diff
unrelated,1.067058,2.307705,2.162679,0.266765,0.576926
unrelated,1.073592,2.320339,2.161285,0.268398,0.580085
unrelated,1.161867,2.483134,2.137192,0.290467,0.620783
unrelated,1.189897,2.533947,2.129551,0.594949,1.266974
unrelated,1.270010,2.675520,2.106691,0.423337,0.891840
unrelated,1.242768,2.627586,2.114301,0.310692,0.656896
unrelated,1.372995,2.842498,2.070290,0.343249,0.710625
unrelated,1.257283,2.653781,2.110726,0.314321,0.663445
unrelated,1.269790,2.673977,2.105842,0.423263,0.891326
unrelated,1.276780,2.687623,2.105000,0.319195,0.671906
unrelated,1.314649,2.750919,2.092512,0.328662,0.687730
unrelated,1.263807,2.663907,2.107844,0.315952,0.665977
unrelated,1.137579,2.439436,2.144410,0.379193,0.813145
unrelated,1.150703,2.464084,2.141372,0.287676,0.616021
unrelated,1.124071,2.414019,2.147569,0.281018,0.603505
unrelated,1.140738,2.446099,2.144312,0.285185,0.611525
unrelated,1.325563,2.764405,2.085457,0.662782,1.382202
unrelated,1.468458,2.991676,2.037291,0.489486,0.997225
unrelated,1.507796,3.047676,2.021279,0.376949,0.761919
unrelated,1.456692,2.974059,2.041653,0.364173,0.743515
unrelated,1.458221,2.975849,2.040740,0.364555,0.743962
unrelated,1.332643,2.776531,2.083477,0.444214,0.925510
unrelated,1.284868,2.694666,2.097232,0.321217,0.673667
unrelated,1.335997,2.780140,2.080947,0.333999,0.695035
unrelated,1.349817,2.805785,2.078641,0.337454,0.701446
unrelated,1.306964,2.733118,2.091195,0.435655,0.911039
unrelated,1.325250,2.763651,2.085381,0.331312,0.690913
unrelated,1.207788,2.566485,2.124947,0.301947,0.641621
unrelated,1.369470,2.834943,2.070102,0.342368,0.708736
unrelated,0.961480,2.100011,2.184144,0.961480,2.100011
unrelated,1.010469,2.197657,2.174888,0.505235,1.098829
unrelated,0.996838,2.170540,2.177426,0.332279,0.723513
unrelated,0.950827,2.077522,2.184963,0.237707,0.519380
unrelated,1.022987,2.222461,2.172522,0.255747,0.555615
unrelated,0.847866,1.862981,2.197259,0.211966,0.465745
unrelated,1.057027,2.287380,2.163975,0.352342,0.762460
unrelated,0.980678,2.137857,2.179979,0.245170,0.534464
unrelated,1.057896,2.289600,2.164295,0.264474,0.572400
unrelated,1.040216,2.255495,2.168294,0.260054,0.563874
unrelated,1.036826,2.248268,2.168413,0.345609,0.749423
unrelated,0.967948,2.112621,2.182577,0.241987,0.528155
unrelated,1.073196,2.318109,2.160004,0.268299,0.579527
unrelated,1.026818,2.229056,2.170838,0.256705,0.557264
unrelated,1.089671,2.348483,2.155223,0.544835,1.174242
unrelated,1.105217,2.372971,2.147063,0.368406,0.790990
unrelated,1.104273,2.374577,2.150353,0.276068,0.593644
unrelated,1.067532,2.301755,2.156146,0.266883,0.575439
unrelated,1.146527,2.446392,2.133741,0.286632,0.611598
unrelated,1.158392,2.474682,2.136307,0.386131,0.824894
unrelated,1.162622,2.478787,2.132067,0.290655,0.619697
unrelated,1.175697,2.506702,2.132099,0.293924,0.626675
unrelated,1.101740,2.370089,2.151224,0.275435,0.592522
unrelated,1.059445,2.292017,2.163413,0.353148,0.764006
unrelated,1.018382,2.212236,2.172305,0.254595,0.553059
unrelated,1.033736,2.243312,2.170103,0.258434,0.560828
unrelated,1.014617,2.205450,2.173679,0.253654,0.551363
unrelated,0.832744,1.834057,2.202426,0.416372,0.917029
